,artist,title,medium,height,width,creation_year,country,fold_ix
31,"Tremblay, Gerard",The Sun Turns Square,Lithograph,406,508,1971,Other,1
32,"Madani, Tala",Stoneman Skinning Man,OilPaintCanvas,406,458,2011,Other,2
33,"Klein, Astrid",Petrified Vision,Photograph,3596,2469,1985,Other,3
34,"Fagan, Robert","Anna Maria Ferri, the Artists First Wife",OilPaintCanvas,616,737,1790,UK,4
35,"Graeser, Camille",Untitled,Screenprint,260,524,1976,Other,5
36,"King, Ronald",III the Squire [from the book The Prologue],Lithograph,181,279,1978,UK,1
37,"Penny, Edward",The Gossiping Blacksmith,OilPaintCanvas,1010,1257,1769,UK,2
38,"Dova, Gianni",Sudden Aggression,OilPaintCanvas,800,597,1955,Other,3
39,"Lancaster, Rev. Richard Hume","Landscape, with a View of Oxford",OilPaintCanvas,711,508,1814,Other,4
40,"Malthouse, Eric",Midsummer,Screenprint,6096,3048,1967,UK,5
41,"Lissitzky, El",10. New Man,Lithograph,430,510,1923,Other,1
42,"Joyce, Paul","Photograph of Ansel Adams, Bill Brandt and Brassa sitting in the Victoria and Albert Museum Garden",Photograph,255,200,1976,Other,2
43,"How, Beatrice",LInfirmire,OilPaintCanvas,470,654,1914,UK,3
44,"Yeats, Jack Butler",A Rose Among Many Waters,OilPaintCanvas,1220,915,1952,UK,4
45,"Richardson-Jones, Keith",Untitled,Screenprint,381,381,1974,UK,5
46,"Japp, Darsie",Saddleback from Wallthwaite,OilPaintCanvas,920,693,1912,UK,1
47,"Sartorius, John Nost",The Earl of Darlington Fox-Hunting with the Raby Pack: The Death,OilPaintCanvas,914,711,1804,UK,2
48,"Wiener, Martin",6. Children in the Panto Family Kindergarten,Lithograph,703,498,1972,Other,3
49,"Stringer, Daniel",Portrait of the Artist,OilPaintCanvas,683,845,1776,UK,4
50,"Laidlay, William James",On the Nile,OilPaintCanvas,610,406,1900,Other,5
51,"Maitland, Paul","The Three Public-Houses, Morning Sun Light",OilPaintCanvas,705,760,1889,UK,1
52,"Kline, Franz",Meryon,OilPaintCanvas,1956,2359,1960,US,2
53,"Murphy, John",The Gathering Anguish Strikes Beneath ...,OilPaintCanvas,1450,1850,1982,UK,3
54,"Mitchell, Joan",Chord II,OilPaintCanvas,970,1620,1986,US,4
55,"Kirchner, Ernst Ludwig",Bathers at Moritzburg,OilPaintCanvas,1997,1511,1909,Other,5
56,"Armitage, Edward",The Remorse of Judas,OilPaintCanvas,2013,1276,1866,UK,1
57,"Lang, Daniel",Rosewood,Screenprint,686,495,1974,US,2
58,"Wells, Henry Tanworth",Victoria Regina,OilPaintCanvas,1918,2451,1880,UK,3
59,"Ferris, Dee",Crush and Rush,OilPaintCanvas,2750,1525,2009,UK,4
60,"Sadotti, Giorgio",Dont Look,Screenprint,840,1040,2000,Other,5
61,"Hill, Derek",Sir Frederick Ashton,OilPaintCanvas,609,508,1964,UK,1
62,"Fisher, Brian",Untitled,Screenprint,343,470,1967,Other,2
63,"Van Aken, Joseph",An English Family at Tea,OilPaintCanvas,1162,994,1720,Other,3
64,"Porter, Frederick J.",Winter Landscape,OilPaintCanvas,737,571,1929,Other,4
65,"Shields, Alan","Two Birds, Woodcock I",Lithograph,617,527,1978,US,5
66,"Jones, Zebedee",Untitled,OilPaintCanvas,840,990,1998,UK,1
67,"Currie, Ken",Scottish Mercenaries,OilPaintCanvas,2130,2740,1987,UK,2
68,"Adams, Norman",Christs Cross and Adams Tree,OilPaintCanvas,1526,1270,1989,UK,3
69,"Cazin, Marie",Evening,OilPaintCanvas,460,327,1884,Other,4
70,"Boxer, Stanley",Softwinterseekingwhiteness,Lithograph,275,327,1976,US,5
71,"Gowing, Sir Lawrence",Wellington Square,OilPaintCanvas,764,509,1944,UK,1
72,"Wardle, Arthur",Fate,OilPaintCanvas,1480,946,1904,UK,2
73,"Dottori, Gerardo",Explosion of Red on Green,OilPaintCanvas,695,492,1910,Other,3
74,"Lowndes, Alan",Stockport Viaduct,Lithograph,502,410,1973,UK,4
75,"Jamieson, Alexander",The Tuileries Gardens and the Rue de Rivoli,OilPaintCanvas,813,610,1901,UK,5
76,"Schmidt, Peter",Flowing in the Right Direction,Lithograph,321,521,1971,Other,1
77,"Fahlstrm, yvind",Column no. 4 (IB-affair),Screenprint,483,588,1974,Other,2
78,"Manet, Edouard",Woman with a Cat,OilPaintCanvas,730,921,1880,Other,3
79,"Lawson, Cecil",The Hop-Gardens of England,OilPaintCanvas,2134,1537,1874,UK,4
80,"Dennis, Jeffrey",The Confinement of Richard Dadd,OilPaintCanvas,915,980,1985,UK,5
81,"Ricketts, Charles",Italia Redenta,Lithograph,425,686,1917,Other,1
82,"Appelbee, Leonard",Red Bream,Lithograph,606,451,1971,UK,2
83,"Pich, Roland",Portrait Head,Screenprint,752,566,1972,UK,3
84,"Kennington, Thomas Benjamin",Orphans,OilPaintCanvas,762,1016,1885,UK,4
85,"Kuper, Roi",Untitled,Photograph,1190,1190,1999,Other,5
86,"O'Neill, George Bernard",The Foundling,OilPaintCanvas,1194,698,1852,Other,1
87,"Lhote, Andr",Study for Homage to Watteau,OilPaintCanvas,360,333,1918,Other,2
88,"Winstanley, Paul",Woman at a Window 2,OilPaintCanvas,1550,1350,2003,UK,3
89,"Dimitrienko, Pierre",The Petrified Forest,OilPaintCanvas,1619,1302,1956,Other,4
90,"Wiszniewski, Adrian",Kasmin and Kappo,OilPaintCanvas,2768,2443,1985,UK,5
91,"Perera, Ed",Liza,Lithograph,603,508,1977,Other,1
92,"Lewis, Wyndham",Nigel Tangye,OilPaintCanvas,917,967,1946,Other,2
93,"Wynter, Bryan",Riverbed,OilPaintCanvas,1220,1524,1959,UK,3
94,"Haydon, Benjamin Robert",Gentleman with a Horse,OilPaintCanvas,762,632,1844,UK,4
95,"Colescott, Warrington",5. Home on the Range,Lithograph,588,791,1968,US,5
96,"McCullin, Don","Checkpoint Charlie, Berlin",Photograph,385,385,1961,UK,1
97,"Kettle, Tilly",Mrs Yates as Mandane in The Orphan of China,OilPaintCanvas,1295,1924,1765,US,2
98,"Wells, Joanna Mary",Portrait of Sidney Wells,OilPaintCanvas,251,276,1859,Other,3
99,"Ono, Yoko",I Ching No. 14,Lithograph,762,511,1970,Other,4
100,"Gibbs, Henry",Aeneas and his Family Fleeing Burning Troy,OilPaintCanvas,1598,1550,1654,Other,5
101,"Charbonneau, Monique",The Tribulations of Little Antoine,Lithograph,498,670,1971,Other,1
102,"Willcock, George Burrell","Chelston Lane, Torquay",OilPaintCanvas,514,616,1851,UK,2
103,"King, John Henry Yeend",Milking Time,OilPaintCanvas,1840,1219,1898,UK,3
104,"Critchlow, Keith",Nasr (Victory),Lithograph,508,635,1976,UK,4
105,"Neiland, Brendan",City Window,Screenprint,252,381,1988,UK,5
106,"Hall, Oliver",Vale of Festiniog,OilPaintCanvas,813,559,1936,UK,1
107,"Wade, Thomas",Turf Cutters,OilPaintCanvas,700,900,1869,US,2
108,"Mantz, Werner","Communion bench, Kreneheide 1935",Photograph,167,224,1935,Other,3
109,"Sanders, Ann","Wooded Landscape with Traveller and Packhorse, after F. Towne",Watercolor,387,275,1778,Other,4
110,"Turner, Joseph Mallord William","The Blue Rigi, Sunrise",Watercolor,450,297,1842,UK,5
111,"Mahoney, Charles",Wrotham Place from the Garden,OilPaintCanvas,610,407,1952,UK,1
112,"Pyman, James",On the Sound,Lithograph,260,210,2000,UK,2
113,"Koch, Eleanor",Four Images,Lithograph,851,635,1977,Other,3
114,"Mozley, Charles",Pharoahs Daughter,Lithograph,419,603,1959,UK,4
115,"Richmond, Sir William Blake",Portrait of Mrs Ernest Moon,OilPaintCanvas,1020,1275,1888,UK,5
116,"Munch, Edvard",The Sick Child,OilPaintCanvas,1210,1187,1907,Other,1
117,"Sander, August",Self-portrait,Photograph,149,216,1922,Other,2
118,"Von Motesiczky, Marie-Louise",From Night into Day,OilPaintCanvas,1166,838,1975,Other,3
119,"McLachlan, Thomas Hope",Evening Quiet,OilPaintCanvas,870,584,1891,Other,4
120,"Fukushima, Hideko",Arc 8,OilPaintCanvas,965,965,1963,Other,5
121,"Ford, Mary",Boats-Antibes,Screenprint,483,210,1978,Other,1
122,"Opie, John",The Peasants Family,OilPaintCanvas,1835,1537,1783,UK,2
123,"Daniell, Thomas","Sir Charles Warre Malet, Concluding a Treaty in 1790 in Durbar with the Peshwa of the Maratha Empire",OilPaintCanvas,2794,1810,1805,UK,3
124,"Pollard, James",Trolling for Pike in the River Lee,OilPaintCanvas,446,356,1831,UK,4
125,"Smith, Sir Matthew",Landscape near Antibes,OilPaintCanvas,550,460,1930,UK,5
126,"Scott, Robert",Peruvian Night,Lithograph,460,622,1965,Other,1
127,"Stanley, Lady Dorothy",His First Offence,OilPaintCanvas,343,629,1896,UK,2
128,"Williams, Terrick","Quiet Twilight, Honfleur",OilPaintCanvas,1270,921,1922,UK,3
129,"Holst, Theodor von",Fantasy Based on Goethes Faust,OilPaintCanvas,757,1116,1834,Other,4
130,"Austen, David",[no title],Lithograph,255,360,1991,UK,5
131,"Model, Lisette","Window reflections, Fifth Avenue, New York City",Photograph,400,495,1945,Other,1
132,"Crawford, Susan",Horse and Rider,Lithograph,781,578,1973,UK,2
133,"Meninsky, Bernard",Sleeping Woman in a Landscape,OilPaintCanvas,1070,613,1945,Other,3
134,"Beechey, Sir William",Portrait of Sir Francis Fords Children Giving a Coin to a Beggar Boy,OilPaintCanvas,1500,1805,1793,UK,4
135,"Hunt, Alfred William","Iron Works, Middlesborough",OilPaintCanvas,641,438,1865,UK,5
136,"Verheyen, Jeff",Untitled,Screenprint,651,651,1972,Other,1
137,"Gwynne-Jones, Allan",Self-Portrait,OilPaintCanvas,330,432,1926,UK,2
138,"Aitchison, Craigie",Model and Dog,OilPaintCanvas,1880,2210,1974,UK,3
139,"Portway, Douglas",White Screen,OilPaintCanvas,1270,1016,1970,Other,4
140,"Olley, Jonathan","Mountpottinger Road RUC Station, Belfast",Photograph,995,757,1999,UK,5
141,Marwan (Marwan Kassab Bachi),"Sisyphus, The Wall",OilPaintCanvas,1950,1950,2008,Other,1
142,"Sleter, Francesco",A Representation of the Liberal Arts: Ceiling Design for the State Dining Room at Grimsthorpe Castle,OilPaintCanvas,762,613,1724,Other,2
143,"Kindersley, David",Quality before Quantity,Lithograph,457,584,1971,Other,3
144,"Grimshaw, Trevor",Open Space,Lithograph,422,327,1974,UK,4
145,"Leonard, Zoe",Carnivores,Photograph,381,561,1992,US,5
146,"Schetky, John Christian",Loss of the Royal George,OilPaintCanvas,1829,1060,1840,US,1
147,"Newman, Hayley",Volcano Lady,Lithograph,297,297,2007,UK,2
148,"Steer, Philip Wilson",Model Seated Before a Mirror,OilPaintCanvas,508,918,1894,UK,3
149,"Charnay, Armand",The Park of Sansac (Indre-et-Loire),OilPaintCanvas,394,295,1885,Other,4
150,"Joseph, Lily D.","Roofs, High Holborn",OilPaintCanvas,1473,1346,1937,Other,5
151,"West, Walter","Sunshine, Breeze, and Blossom: Lake Como",OilPaintCanvas,1283,1016,1913,UK,1
152,"Ardizzone, Edward",View from the Window of My Studio in Kent,Watercolor,406,264,1967,Other,2
153,"Hall, Harry",John Barham Day with his Sons John and William on Newmarket Heath,OilPaintCanvas,765,632,1841,UK,3
154,"Brill, Frederick","Quarry Face, Worth Matravers",OilPaintCanvas,1220,915,1956,Other,4
155,"Stuart, Gilbert",Portrait of a Man (Self-portrait?),OilPaintCanvas,635,754,1782,US,5
156,"Lange, Dorothea","Migrant Mother, Nipomo, California",Photograph,280,355,1935,US,1
157,"Schurmann, Herbert",Untitled (Sheets of Paper),Photograph,73.5,100,1932,Other,2
158,"Watt, George Fiddes",The Artists Mother,OilPaintCanvas,800,1054,1910,UK,3
159,"Lancaster, Osbert",Pineapple Poll,Lithograph,314,419,1937,UK,4
160,"Bliss, Douglas Percy","Gunhills, Windley",OilPaintCanvas,1016,762,1946,Other,5
161,"Calderon, Philip Hermogenes",Broken Vows,OilPaintCanvas,679,914,1856,Other,1
162,"Richter, Vjenceslav",Sespo 3,Screenprint,610,825,1980,Other,2
163,"Nicholson, Mabel",Family Group,OilPaintCanvas,1479,1695,1911,Other,3
164,"Friesz, Othon",The Castle of Falaise (Evening),OilPaintCanvas,600,730,1904,Other,4
165,"Skild, Birgit",Water Is Water,Lithograph,340,288,1979,Other,5
166,"Weaver, Thomas","Thomas Morriss Sheep Show at Barton-on-Humber, Lincolnshire",OilPaintCanvas,1286,1028,1810,Other,1
167,"Collein, Edmund","Untitled (Material Study, Josef Albers Preliminary Course, Bauhaus Dessau)",Photograph,75,104,1927,Other,2
168,"Carter, William",The Refectory Table,OilPaintCanvas,762,635,1936,UK,3
169,"Cast, Jesse Dale",Miss Beatrice M. Dale Cast,OilPaintCanvas,406,562,1950,Other,4
170,"Gow, Andrew Carrick",Cromwell at Dunbar,OilPaintCanvas,1511,1206,1886,UK,5
171,"Gleizes, Albert",Portrait of Jacques Nayral,OilPaintCanvas,1140,1619,1911,Other,1
172,"Gerrard, Kathleen",Still Life with Yellow Fungus,OilPaintCanvas,510,405,1936,Other,2
173,"Helman, Robert",Candile,OilPaintCanvas,797,797,1955,Other,3
174,"Williams, Fred",Riverbed D,OilPaintCanvas,1368,1748,1981,Other,4
175,"Daniels, Harvey",Marcs Dogs,Lithograph,349,622,1975,UK,5
176,"Consemller, Erich",Untitled,Photograph,121,133,1926,Other,1
177,"Van Heemskerk, Egbert, III",The Doctors Visit,OilPaintCanvas,625,759,1725,Other,2
178,"O'Connor, John",Kersey Church,Lithograph,635,486,1970,UK,3
179,"Bush, Jack",Colour Column on Suede,OilPaintCanvas,1372,2267,1965,Other,4
180,"Hutton, Clarke",Harlequinade,Lithograph,759,495,1946,UK,5
181,"Murray, Sir David",Summer Haze in Sussex,OilPaintCanvas,737,610,1929,UK,1
182,"Lander, Reginald",Windsor Castle,Lithograph,356,257,1976,Other,2
183,"Saura, Antonio",Imaginary Portrait of Goya,OilPaintCanvas,965,1295,1966,Other,3
184,"Holt, Lilian","Tajo, Ronda",OilPaintCanvas,911,711,1956,UK,4
185,"Laroon, Marcellus, the Younger",A Musical Assembly,OilPaintCanvas,1270,1016,1720,UK,5
186,"Carter, Samuel John",Morning with the Wild Red Deer,OilPaintCanvas,2407,1485,1876,UK,1
187,"Rawsthorne, Isabel",View through a Window II,OilPaintCanvas,1752,940,1967,Other,2
188,"Rhoades, Geoffrey","Winter Afternoon, Chalk Farm",OilPaintCanvas,1137,832,1935,UK,3
189,"Erwitt, Elliot",New York City,Photograph,405,305,1974,Other,4
190,"Clough, Prunella",Stack,OilPaintCanvas,1880,1510,1993,UK,5
191,"Conder, Charles",Spanish Set,Lithograph,451,295,1905,UK,1
192,"Buffet, Bernard",Portrait of the Artist,OilPaintCanvas,1140,1464,1954,Other,2
193,"Rivers, Leopold",Stormy Weather,Watercolor,768,546,1892,UK,3
194,"Rothenberg, Susan",Vertical Spin,OilPaintCanvas,2860,3308,1986,US,4
195,"Palmer, Roger",Tarmac Strip,Screenprint,178,267,1972,UK,5
196,"Muhrman, Henry",Kew Bridge,OilPaintCanvas,927,610,1898,US,1
197,"Reysschoot, Peter John van",A Jacobite Group in St James Park,OilPaintCanvas,553,458,1735,Other,2
198,"Griffier, Jan, I",A Turkey and other Fowl in a Park,OilPaintCanvas,1390,1146,1710,Other,3
199,"Noble, Robert","Dirleton Church, East Lothian",OilPaintCanvas,608,305,1912,UK,4
200,"Rice, Brian",Kuroi,Screenprint,610,805,1963,UK,5
201,"Innes, Callum",Untitled No 51,OilPaintCanvas,1210,1250,2011,UK,1
202,"Baran, Stefan",Ted Heath,Screenprint,441,613,1972,Other,2
203,"Sichel, Ernest Leopold",Musical Instruments,OilPaintCanvas,1181,533,1895,UK,3
204,"Cantor, Ellen",share it with me,Lithograph,300,360,2008,US,4
205,"Faed, Thomas",Highland Mother,OilPaintCanvas,203,267,1870,UK,5
206,"Barker, Thomas, of Bath",Self-Portrait,OilPaintCanvas,629,756,1796,UK,1
207,"Horton, Percy",The Invalid,OilPaintCanvas,406,508,1934,UK,2
208,"David, Allen",Red Fountain II,Lithograph,464,610,1970,Other,3
209,"Beggs, Guy",In the Shade,Lithograph,229,232,1973,Other,4
210,"Ballen, Roger",Puppy between Feet,Photograph,360,355,1999,US,5
211,"Williams, Edward",A Village Forge: Moonlight,OilPaintCanvas,457,308,1845,UK,1
212,"Brown, Sir Arnesby",The Line of the Plough,OilPaintCanvas,762,635,1919,UK,2
213,"Boitard, Louis Philippe",An Exact Representation of the Game of Cricket,OilPaintCanvas,591,489,1760,Other,3
214,"Jungman, Nico",At Monnikendam,OilPaintCanvas,762,635,1922,Other,4
215,"Geden, Dennis",2. Still Life and 3. Quiet Horse,Lithograph,312,471,1976,Other,5
216,"Monnington, Sir Thomas",Trees,OilPaintCanvas,452,350,1938,UK,1
217,"Carlo, Michael",Evening,Screenprint,254,381,1978,UK,2
218,"Tyrwhitt, Ursula",Flowers,Watercolor,384,406,1912,UK,3
219,"Webb, James","Mont St Michel, Normandy",OilPaintCanvas,2429,1511,1857,UK,4
220,"Starr, Georgina",You Stole my Look,Screenprint,887,719,1997,UK,5
221,"Villers, Dee",Kyrenia Harbour,Lithograph,619,410,1970,Other,1
222,"Corbet, Matthew Ridley",Val dArno: Evening,OilPaintCanvas,2089,908,1901,UK,2
223,"Bellingham-Smith, Elinor",Dragon-Flies,OilPaintCanvas,914,610,1947,UK,3
224,"Gethin, Percy Francis",View from Chteau Chinon,Watercolor,279,219,1911,Other,4
225,"Manessier, Alfred",-12,OilPaintCanvas,1460,1143,1956,Other,5
226,"Nebot, Balthazar",Covent Garden Market,OilPaintCanvas,1228,648,1737,Other,1
227,"Jesih, Boris",The Apple Tree and the Grafts,Lithograph,665,875,1979,Other,2
228,"Cardoso, Jos, Junior",They Amuse Themselves,OilPaintCanvas,689,540,1935,Other,3
229,"House, Gordon",[no title],Screenprint,698,502,1979,UK,4
230,"Laporte, George Henry",Arab Mare and Foal with Attendant by a Ruined Temple,OilPaintCanvas,673,486,1835,Other,5
231,"Wainwright, John",Flower-piece,OilPaintCanvas,559,662,1867,Other,1
232,"Wolmark, Alfred",Decorative Still Life,OilPaintCanvas,762,622,1911,Other,2
233,"Goodall, Frederick",The Ploughman and the Shepherdess: Time of the Evening Prayer,OilPaintCanvas,2448,1932,1897,UK,3
234,"Severini, Gino",Suburban Train Arriving in Paris,OilPaintCanvas,1156,886,1915,Other,4
235,"Large, Valerie",Space Cut,Lithograph,500,298,1973,Other,5
236,"Richter, Gerhard",Abstract Painting (726),OilPaintCanvas,3500,2500,1990,Other,1
237,"Newton, Algernon",A Gleam of Sunlight,OilPaintCanvas,610,457,1966,UK,2
238,"Gregory, Edward John",Marooning,Watercolor,457,368,1887,UK,3
239,"Lohse, Richard Paul",[no title],Screenprint,660,660,1981,Other,4
240,"Gentleman, Tom",Grey Horses,Lithograph,765,496,1946,Other,5
241,"Thomson, Henry",The Raising of Jairus Daughter,OilPaintCanvas,2990,2414,1820,UK,1
242,"Alexander, Edwin",Peacock and Python,Watercolor,1780,1018,1905,UK,2
243,"Starr, Sydney",A Study,OilPaintCanvas,355,455,1887,UK,3
244,"Tanguy, Yves",Untitled,Watercolor,235,80,1937,Other,4
245,"Kinley, Peter",Large House with Two Gables,OilPaintCanvas,2780,1932,1980,Other,5
246,"Wonnacott, John",Portrait of Jim Manton,OilPaintCanvas,510,610,2000,UK,1
247,"Landsaat, Hans",Red Still Life,Screenprint,807,730,1980,Other,2
248,"Rippingille, Edward Villiers",Capuchin Friar,OilPaintCanvas,584,686,1833,UK,3
249,"Cottingham, Robert",Frankfurters,Lithograph,267,265,1980,US,4
250,"Dobson, William",Portrait of the Artists Wife,OilPaintCanvas,457,610,1635,UK,5
251,"Celic, Stojan",Region,Lithograph,400,572,1979,Other,1
252,"Penagos, Rafael",Boy with Mirror,Lithograph,571,775,1976,Other,2
253,"Drever, Timothy",Untitled,Screenprint,610,610,1969,UK,3
254,"Repin, Ilya",Study of an Old Man,OilPaintCanvas,679,883,1878,Other,4
255,"Romiti, Sergio",Composition,OilPaintCanvas,648,695,1960,Other,5
256,"Errazuriz, Paz",Adams Apple,Photograph,459,295,1983,Other,1
257,"Dobson, William Charles Thomas",The Child Jesus Going Down with His Parents to Nazareth,OilPaintCanvas,900,1090,1856,Other,2
258,"Anderson, Hurvin",Jersey,OilPaintCanvas,2083,2503,2008,UK,3
259,"Gross, Anthony",La Route de Ste Livrade,OilPaintCanvas,645,495,1932,UK,4
260,"Moore, Albert",A Sleeping Girl,OilPaintCanvas,225,308,1875,UK,5
261,"Gulich, John",A Violin Concerto,Watercolor,711,889,1898,Other,1
262,"Rousseau, Henri",Bouquet of Flowers,OilPaintCanvas,495,610,1909,Other,2
263,"Permeke, Constant",Harvest,OilPaintCanvas,1648,1280,1924,Other,3
264,"Tibble, Geoffrey",Demolition of Verlaines House,OilPaintCanvas,711,914,1938,UK,4
265,"Langlois, Denis",Untitled,Screenprint,521,673,1971,Other,5
266,"Hart, James Turpin",A Rustic Timepiece,OilPaintCanvas,432,533,1856,UK,1
267,"Wiseman, Albany",The Phoenician,Lithograph,403,584,1975,UK,2
268,"Colman, Samuel",The Death of Amelia,OilPaintCanvas,756,629,1804,Other,3
269,"Mann, Harrington",The Fairy Tale,OilPaintCanvas,1416,1022,1902,UK,4
270,"Monro, Nicholas",Estuary,Screenprint,975,705,1982,UK,5
271,"La Dell, Edwin",The Tower of London,Lithograph,763,496,1946,UK,1
272,"Gotlib, Henryk",Rembrandt in Heaven,OilPaintCanvas,1632,1333,1948,Other,2
273,"Monet, Claude",The Seine at Port-Villez,OilPaintCanvas,1003,654,1894,Other,3
274,"Appel, Karel","Hip, Hip, Hoorah!",OilPaintCanvas,1270,817,1949,Other,4
275,"Gray, Douglas S.",Rosalind,OilPaintCanvas,927,1295,1924,UK,5
276,"Knight, Harold",A Student,OilPaintCanvas,508,610,1938,UK,1
277,"Shannon, Charles",The Rebirth of the Arts,Lithograph,489,743,1917,UK,2
278,"Corker, Douglas",Untitled,Screenprint,483,648,1979,UK,3
279,"Bo, Hou",Chairman Mao Zedong at Beidaihe Hebei Provence,Photograph,235,300,1954,Other,4
280,"Scarfe, Laurence",Quatrefoil Garden,Lithograph,416,610,1966,Other,5
281,"Jack, Richard",Rehearsal with Nikisch,OilPaintCanvas,2140,1524,1912,UK,1
282,French School 18th century,Apollo,OilPaintCanvas,1168,899,1720,Other,2
283,"Monro, Henry",The Disgrace of Wolsey,OilPaintCanvas,1225,1910,1814,UK,3
284,International Local (Sarah Charlesworth; Joseph Kosuth; Anthony McCall),Where Are You Standing?,Lithograph,991,1400,1976,Other,4
285,"Cordell, Magda",No. 12,OilPaintCanvas,1016,1524,1960,Other,5
286,"Makowski, Kazimierz",Defence of the Environment,Lithograph,766,482,1983,Other,1
287,"Olsson, Julius",Moonlit Shore,OilPaintCanvas,1537,1175,1911,UK,2
288,"Ginger, Phyllis",Town Centre,Lithograph,762,495,1946,UK,3
289,"Uklanski, Piotr",[no title],Lithograph,210,260,2000,Other,4
290,"Bauer, Marius",Strasbourg Cathedral,Watercolor,521,689,1891,Other,5
291,"Caro, Antonio",Colombia,Screenprint,600,400,1977,Other,1
292,"Scott, Campbell",Untitled,Lithograph,581,794,1969,Other,2
293,"Calthrop, Claude",Meeting of Scottish Jacobites,OilPaintCanvas,1270,889,1878,Other,3
294,"Mead, Dorothy",Chessboard,OilPaintCanvas,640,760,1958,UK,4
295,"Smythe, Lionel Percy",Germinal,Watercolor,445,584,1889,UK,5
296,"Feiler, Jo",Nude in between Two Beds,Photograph,195,125,1975,US,1
297,"Fuchs, Emil",Sir Joseph Duveen,OilPaintCanvas,1060,1676,1903,Other,2
298,"Roy, Pierre","Boris Anrep in his Studio, 65 Boulevard Arago",OilPaintCanvas,501,653,1949,Other,3
299,"Waller, Samuel",Sweethearts and Wives,OilPaintCanvas,2019,1448,1882,UK,4
300,"Doughty, William",Caricature Group,OilPaintCanvas,1041,775,1780,UK,5
301,"Potter, Mary","The Window, Chiswick",OilPaintCanvas,552,764,1929,UK,1
302,"Hudson, Thomas",Mrs Sarah Ingram,OilPaintCanvas,1016,1270,1750,UK,2
303,"Goeneutte, Norbert",The Boulevard de Clichy under Snow,OilPaintCanvas,733,600,1876,Other,3
304,"Pollock, Jackson",Birth,OilPaintCanvas,551,1164,1941,US,4
305,"Ridley, Matthew White",The Pool of London,OilPaintCanvas,914,648,1862,UK,5
306,"Munnings, Sir Alfred",Their Majesties Return from Ascot,OilPaintCanvas,2445,1480,1925,Other,1
307,"Davis, Henry William Banks",Approaching Night,OilPaintCanvas,914,559,1899,UK,2
308,"Egg, Augustus Leopold","Past and Present, No. 3",OilPaintCanvas,762,635,1858,UK,3
309,"Wood, Craig","Safeways Gel Air Freshener, Alpine Garden (Detail)",Screenprint,861,662,1992,UK,4
310,Brassai,"The Urchin Bijou, Bar de la Lune",Photograph,240,320,1932,Other,5
311,"Lane, Abigail",Dinomouse Sequel Mutant X,Screenprint,882,569,1997,UK,1
